,title,revenue
134,House III: The Horror Show,387789.20773375325
135,Rapid Fire,6410840.401193532
136,Walking With Dinosaurs,62207060.54428827
137,The Painted Veil,1250592.650885355
138,Project X,23927542.70842054
139,Predator,83890117.56694412
140,Absence of Malice,7943129.057858583
141,Last Summer,1130107.3326696842
142,Hitch,137421331.15751046
143,Lay the Favorite,6337394.00704336
144,Eight Crazy Nights,8957940.022262497
145,Atanarjuat: The Fast Runner,949002.5682349495
146,Crazy Heart,15815692.70976983
147,The English Teacher,1316946.2066985704
148,Street Fighter: The Legend of Chun-Li,67910322.2604798
149,Under Siege 2: Dark Territory,79493244.33939095
150,Elephant,2389932.6206843182
151,Under the Skin,9084127.961388566
152,Learning to Drive,1600471.1095056562
153,City Island,4451804.9972464815
154,A Dangerous Method,10607268.056466939
155,Justice League: War,3205964.4473969806
156,Garden State,16746447.8592511
157,Batman,167282711.07070482
158,A Far Off Place,13191492.903528422
159,Family Plot,11344635.11177222
160,Ma Ma,469365.39371207193
161,Genius,1969738.2082987023
162,Dumb and Dumber,72424160.79536457
163,Roger & Me,3202572.5520410603
164,Keyhole,197271.29997158615
165,"Chelovek, kotoryy znal vsyo",392497.4264570504
166,Alive,57067123.59427092
167,Square Dance,248244.13379223595
168,Three Days of the Condor,17708473.458455943
169,The Secret in Their Eyes,5289271.911188616
170,Awakenings,8036387.683533525
171,Foxcatcher,18897403.849072956
172,Nirvana,450574.83473341714
173,Goodnight Mommy,569071.4287738818
174,Evangelion: 3.0 You Can (Not) Redo,4527842.72761609
175,The Woman in Black,10181104.907937467
176,The Naked Gun 33⅓: The Final Insult,79908958.30758111
177,Of Gods and Men,1326919.5256398683
178,Bad Lieutenant,1981439.4323974843
179,Something New,1760889.520760102
180,Standing Still,133626.5480324544
181,Seven Pounds,153142527.02835113
182,Jason X,39847130.424430385
183,The Enforcer,19826194.461411487
184,Rumor Has It...,55190231.08549613
185,City Slickers,70320147.57934386
186,The Man from Nowhere,2672493.9952090895
187,Tideland,7779944.025139336
188,The Girl on the Train,30433191.18397898
189,Halloween II,22551878.42154759
190,Cake,6088082.331983389
191,Fullmetal Alchemist: The Sacred Star of Milos,2742300.8291561175
192,Creed,207646048.0374296
193,Jonah Hex,54583116.275505446
194,Dance Me Outside,152899.61547054484
195,Submarine,1136268.8952732151
196,High-Rise,1652981.093398655
197,The Sum of All Fears,130085009.16180752
198,The Hunchback of Notre Dame,218786561.80153248
199,Noises Off...,12597139.117753189
200,I Spit on Your Grave 2,1250913.3551985372
201,Finding Mr. Right,1380402.9856990408
202,Weekend Pass,888791.0929400134
203,Miss Pettigrew Lives for a Day,625506.2112323701
204,Mr. Nice,643832.1189205783
205,They Live,14289086.507460989
206,The Giver,12189149.863915574
207,Mindscape,9808155.686162312
208,Aitraaz,3628048.4399675154
209,Iron Man,562775813.2283149
210,In the Soup,454938.1527381848
211,Finding Neverland,49172078.15598537
212,Scouts Guide to the Zombie Apocalypse,55093245.28951563
213,Hell's Angels,3930069.953849461
214,Mondays in the Sun,3436698.2204423444
215,The Ward,3448527.918025114
216,Mission: Impossible II,354765312.39377224
217,Puella Magi Madoka Magica the Movie Part III: Rebellion,4161971.5799698476
218,Redd Inc.,412338.37209583714
219,Hacksaw Ridge,23234791.20970976
220,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,7627573.442089841
221,My Baby's Daddy,1068121.2091782896
222,White Men Can't Jump,17719468.094187994
223,Madonna: Truth or Dare,1941051.066677924
224,It Happened One Night,5260180.187461149
225,The Spectacular Now,965583.7809482154
226,Season of the Witch,65569806.1540942
227,The Postman,120277881.03315902
228,Daredevil,101683359.32881854
229,Machete Kills,18505702.30471886
230,Manhattan Murder Mystery,23696338.278727345
231,Giant,16377863.723068178
232,Home Fries,8335970.972553387
233,Another Earth,1338130.0187812047
234,Man Down,832475.5783022505
235,The Treatment,94000.180247174
236,Blitz,28845186.456239823
237,Gimme Shelter,2626255.3082821905
238,Some Velvet Morning,136395.45568806387
239,Allegiant,346693911.698801
240,Carbon Copy,677718.2155020765
241,The Boy Who Could Fly,1064109.3336616892
242,Code of Silence,7893134.730664367
243,La caliente niña Julietta,592204.6681370019
244,L!fe Happens,1930032.2577616042
245,Rapa Nui,30664552.643244307
246,Racing with the Moon,19472292.905687086
247,Concussion,60624731.65322261
248,Mermaids,34678504.07033282
249,A Bug's Life,258810148.12789246
250,Booty Call,2576561.278598323
251,Leaving Las Vegas,17341849.39116301
252,RoboCop,53749978.147229746
253,Riding Shotgun,879753.0521854918
254,A Little Night Music,33263.35621376884
255,Things We Lost in the Fire,40082055.57759187
256,Apollo 18,9819056.766977534
257,Toy Soldiers,16049628.060040439
258,House of Sand and Fog,45319641.538991615
259,CBGB,1195059.1742746755
260,The Twilight Saga: Breaking Dawn - Part 1,469191623.1893255
261,Forbidden Kingdom,31094945.517215688
262,State Property 2,356661.4791650891
263,Locust,298568.71224815334
264,The Last Mountain,34640.86753801228
265,Bill Cunningham New York,127786.55124937586
266,Raising Arizona,15055115.902185762
267,How to Live Forever,106742.80584176807
268,Jackass 3D,32118293.470214095
269,Cursed,59490115.84181288
270,Splinter,2304757.171105095
271,Battle of the Year,7504592.255579117
272,Antichrist,9842860.027663615
273,Mulan,364708398.8054689
274,Zulu,12119628.043232016
275,Afterglow,597512.8819980581
276,24,7706299.563211678
277,Captain Corelli's Mandolin,69493571.82487443
278,True Grit,16046695.011884348
279,Hancock,156940648.14177307
280,The Low Down,220081.39251910438
281,The Bellboy,3287566.0992865027
282,The BFG,325189119.5943209
283,Doctor Zhivago,21215008.636466768
284,August Rush,58823824.51636607
285,Haute Cuisine,482166.7007051389
286,Adam,2478610.012341412
287,Twice Born,9736933.520802712
288,Brokeback Mountain,17564619.766024616
289,The Right Stuff,60869875.34281452
290,Manchester by the Sea,6867268.170702411
291,Sin City: A Dame to Kill For,181754271.2220618
292,The People vs. Larry Flynt,44819693.46951362
293,JCVD,4702704.856113979
294,The Greatest Show on Earth,6793286.495243665
295,Blood Feast,1386968.372027468
296,A Quiet Passion,1438382.4923409112
297,The Specialist,70136324.79477844
298,Roadgames,1640092.572093797
299,Casualties of War,31331049.666558392
300,Hate Crime,220806.8132039643
301,What We Do in the Shadows,1106287.3750791408
302,Le Samouraï,862411.6334198698
303,Things to Do in Denver When You're Dead,7056720.045037506
304,Smokin' Aces,48952461.13351604
305,Itty Bitty Titty Committee,238398.0617283364
306,Paint Your Wagon,52239359.56559485
307,When Time Ran Out...,9461823.426949529
308,"I, Madman",580154.358688688
309,An Inconvenient Truth,1501970.4297137184
310,Pokémon Heroes: Latios and Latias,3085057.869196631
311,Police Story 2013,3002964.0961936624
312,Unfinished Business,65778312.861156344
313,Dirty Rotten Scoundrels,20167371.2342676
314,Assassins,75588424.88336538
315,Funny Games,7555670.831557097
316,Finding Vivian Maier,821505.613531474
317,Special ID,389890.7459664855
318,Three O'Clock High,5886319.316558206
319,Nightbreed,8069521.640036103
320,At Long Last Love,8951324.280986317
321,Candyman: Farewell to the Flesh,2595681.8112422135
322,War Horse,73767872.0641055
323,The Battalion,4028249.7373597585
324,Sweeney Todd: The Demon Barber of Fleet Street,77885295.68949707
325,The Secret Life of Pets,152928544.6287262
326,Ride Along,70036607.25958996
327,Dirty Dancing: Havana Nights,22234501.22364021
328,The Messenger,3296478.838994165
329,Next,98435180.0325632
330,Alibi.com,1291462.6250430273
331,Spaceballs,34814686.93033784
332,Rio,196070792.01957363
333,Aashiqui 2,2330669.0095806434
334,The Young and Prodigious T.S. Spivet,17755212.700933233
335,Beyond the Lights,15746870.929510906
336,The Source,54440.231662940285
337,Armed and Dangerous,16270413.534819439
338,Ladies in Lavender,808853.3289213846
339,The Thin Red Line,65740518.25169891
340,Marty,2013071.6604286616
341,Mad Max Beyond Thunderdome,39671647.05097718
342,Limitless,51998969.07752583
343,Orleans,899129.7812893484
344,The Collection,682937.4457897547
345,Catch and Release,22080674.110748246
346,Conan O'Brien Can't Stop,181583.57368947525
347,The Best Little Whorehouse in Texas,17476447.68513698
348,Southpaw,28055501.974033773
349,300,191884157.8215689
350,Shelter,25090681.481809065
351,Embrace of the Serpent,1462371.2875352632
352,Marie Antoinette,46679497.822430596
353,Super,1403738.9560960566
354,Six Pack,5109446.910205217
355,The Assassin,10666494.547403872
356,The Geographer Drank His Globe Away,493888.81634317007
357,Invasion of the Body Snatchers,11970911.97952428
358,Ratchet & Clank,21715887.709721543
359,Victor/Victoria,10948780.445828235
360,Astro Boy,95191301.64434722
361,The Piano Teacher,3782090.974505346
362,French Women,2577319.9608182283
363,The King and I,13265366.495590672
364,2016: Obama's America,349290.6118539715
365,New Year's Eve,93845774.68282746
366,Æon Flux,86460645.92728132
367,Where the Boys Are '84,2501448.310675589
368,A Night at the Roxbury,23688254.30510305
369,Donnie Darko,55321851.55165914
370,The Running Man,25926541.747727588
371,Alice in Wonderland,9684809.92934404
372,Born on the Fourth of July,51294971.21460672
373,The Adventures of Robin Hood,7339784.146944521
374,G.I. Jane,62358851.67468705
375,Fifty Shades of Black,17007543.787781984
376,Ong-Bak: The Thai Warrior,3726252.4756527063
377,Agneepath,8489753.019557467
378,The Iron Giant,99010780.92109978
379,The Boss,54022547.351046965
380,Paprika,741710.3375580276
381,All Together,169232.83828365186
382,Snow Angels,1201683.5777377447
383,Screamers,32903609.494344555
384,Ray,69216824.96128081
385,Poetry,548458.1721505815
386,An American Carol,657395.4438704307
387,Man on Fire,94743756.43636179
388,The Amazing Spider-Man 2,786458475.6244559
389,Missing,11333490.65057563
390,Mo' Better Blues,8960392.87735774
391,Better Off Dead...,4856344.408348588
392,We Need to Talk About Kevin,7466071.852018003
393,My Favorite Martian,115153484.19707522
394,The Fugitive,148068603.52022517
395,Fist of Legend,2260351.6377818356
396,"Pink Ribbons, Inc.",111947.3376073699
397,Cinderella,236907658.5530341
398,The Boat That Rocked,46525286.26685609
399,Wishmaster,9520018.735492669
400,Hooked on the Game,2508470.057062372
401,Digging to China,340148.5325013663
402,Pulp Fiction,32052335.01928879
403,Fools Rush In,12832398.576102499
404,Solitary Man,7107412.478521216
405,Cats & Dogs 2 : The Revenge of Kitty Galore,127167272.33765846
406,R.I.P.D.,126884845.27687591
407,Miracle,30465106.334545396
408,Bopha!,2289324.845594262
409,Texas Chainsaw 3D,15556984.478319995
410,Nacho Libre,66552666.87956122
411,Beyond a Reasonable Doubt,6298618.89633567
412,Ishtar,25266759.771158468
413,Satan's Blood,639230.3990813371
414,"Paris, Texas",5462669.2660448905
415,Psycho,29343645.88846491
416,Elf,63299442.77001143
417,Escape from Alcatraz,25600955.42555988
418,Clash of the Titans,225119712.20959157
419,The Mother,913984.6167306671
420,House at the End of the Street,23419318.78421595
421,Beyond the Hills,959610.7264808123
422,Ratatouille,309721543.8435195
423,A Few Less Men,661533.1142864693
424,Tamara,1425481.5028029212
425,The Way We Were,18119955.93306017
426,Hide and Seek,26596691.677985027
427,The Pit and the Pendulum,959743.3669920505
428,Footloose,27111254.182504926
429,Kong: Skull Island,345698035.1713329
430,Trick or Treat,1055322.4549242521
431,Son of Rambow,3758995.4442647076
432,The Admiral: Roaring Currents,5602304.785600625
433,Children of the Corn II: The Final Sacrifice,12436666.942428328
434,The Huntsman: Winter's War,274115327.30705404
435,The Angry Birds Movie,168199044.6435768
436,A Special Day,1102789.793899943
437,Porky's II: The Next Day,21222606.81527017
438,Brotherhood of the Wolf,28013794.818580944
439,Winnie the Pooh,55770834.3968173
440,The Ninth Gate,54630440.59440267
441,Eight Days a Week,377887.52613983594
442,Nobel Son,651419.4491518596
443,Dangerous Ground,2411392.331944466
444,The Santa Clause,64201011.47815344
445,Zombie Fever,256595.62016107448
446,Imagine Me & You,3766051.187775667
447,"New York, I Love You",21686002.470715642
448,Shane,8141022.197834246
449,National Lampoon's Christmas Vacation,47097823.09614617
450,The Killing Fields,20132105.877019867
451,Never Let Me Go,40961391.50252923
452,The Shallows,33121862.889748294
453,Bad News Bears,23444546.26810086
454,Double Dragon,3954594.896664109
455,Magnolia,81176062.96203391
456,For a Few Dollars More,3629689.217932155
457,Braindead,9120043.021147043
458,Pacific Rim,486070234.38387036
459,The Skin I Live In,14495567.827869559
460,Control,826968.7943648632
461,Space Battleship Yamato,7002418.502628725
462,Life or Something Like It,50028673.965024054
463,Dingo,237806.20784962625
464,Office Space,23893454.52950775
465,The City of Lost Children,27162757.411584936
466,The End,10544388.369218143
467,Sister Act 2: Back in the Habit,89728320.52597636
468,10 Years,1262024.7760368548
469,"Milwaukee, Minnesota",194387.9685178119
470,The Poseidon Adventure,33146568.424270004
471,Antidur,219686.85909104353
472,Nine Lives,17651186.578550078
473,The Girl with the Dragon Tattoo,20526365.949397795
474,Megamind,98004079.03387207
475,Young Doctors in Love,6382382.468231006
476,Left Behind,13465330.542457916
477,The Presidio,5747639.603991412
478,xXx: Return of Xander Cage,246072982.0566806
479,Bug,4687923.3402406145
480,Cannonball,1203518.2106271745
481,Native Son,2680026.0711901938
482,The Hanoi Hilton,1403592.8247848873
483,The Cincinnati Kid,5225514.627943778
484,Why Him?,65809950.81937496
485,Thunderbirds,63499726.40585914
486,Neighbors,78045024.03877245
487,The Jungle Book,43673996.513832234
488,Deck the Halls,9631521.412149653
489,Hearts in Atlantis,33753985.56144589
490,Tommy,16786633.669816636
491,Boom Town,4950982.029540876
492,Iron & Blood: The Legend of Taras Bulba,11739457.966937602
493,Silent Night,538118.7723580932
494,Confessions of a Shopaholic,76875857.47436623
495,The Seventh Sign,4436922.396602781
496,No Country for Old Men,64252028.86787969
497,Home Alone,12828977.186784277
498,Hellbound: Hellraiser II,7615862.929847092
499,Miles Ahead,106406.4819011926
500,The Client,84405598.70191503
501,The Royal Tenenbaums,37507740.805861846
502,The Sound of Music,24572632.84156376
503,Bullet to the Head,31890988.551799502
504,Contempt,1011375.4924444316
505,Corpse Bride,49124613.13484715
506,Final Fantasy: The Spirits Within,178201815.37224677
507,Fame,12567352.253752718
508,Infernal Affairs,5409525.035737529
509,Rescue Dawn,22283653.174903646
510,I Love Trouble,16496941.356655631
511,Sucker Punch,136361228.93362904
512,The Man Who Shot Liberty Valance,12531236.46395671
513,The Green Berets,9892116.314280532
514,The Work and the Glory,1337916.2361296427
515,Green Card,12960127.577306252
516,Thor: The Dark World,483996601.12644285
517,The Hurt Locker,33696523.281476855
518,Maps to the Stars,1867468.6717885018
519,The Pom Pom Girls,669539.5803930695
520,13 Tzameti,203619.3817756635
521,Can't Buy Me Love,16187455.147775207
522,A River Runs Through It,18184403.29484951
523,Gattaca,60537149.543892846
524,Planet 51,115728688.20040585
525,The Emerald Forest,6398533.227982947
526,Greedy,16730240.359881256
527,Honky Tonk Freeway,3431747.73143367
528,The Curious Case of Benjamin Button,211169167.08200812
529,Pirates,16930882.864591025
530,True Romance,29164510.378055386
531,Close Encounters of the Third Kind,45228199.308512114
532,Bandslam,28016238.182920072
533,Taxi Driver,12256326.030457798
534,Who Framed Roger Rabbit,127972605.5008203
535,Flight Crew,7071911.231499727
536,16 Blocks,49522896.01145248
537,Chinatown,65616018.48980878
538,The Gambler,52728348.63463591
539,Yu-Gi-Oh! The Movie,9983417.7819243
540,The Texas Chainsaw Massacre 2,16990647.158072013
541,The Two Jakes,24836839.717888366
542,Ticket to Vegas,282468.4240515223
543,Crocodile Dundee in Los Angeles,24559210.271710247
544,A Perfect Man,489540.2597023717
545,Rob the Mob,1261719.0834585326
546,Over the Hedge,68465147.65133095
547,Monsters vs Aliens,169185447.05352277
548,My Beautiful Laundrette,2204966.703674179
549,The Alamo,143898733.1959336
550,Jerry Maguire,88338636.8275456
551,Wrong Turn,52337131.32939604
552,The Purge,26491805.150414415
553,Conan the Barbarian,108203103.5074803
554,Dr. Dolittle 2,136579063.94463968
555,3 Days to Kill,53874609.789527625
556,Canadian Bacon,8339798.492639343
557,Grown Ups 2,150724216.47225955
558,Jobs,14237769.856215848
559,The Eternal Zero,568575.8274982454
560,Old Dogs,83312620.76625127
561,The Guest,3422278.936510228
562,Night of the Demons,7357488.419134544
563,Soccer Days,356767.26754976565
564,Kismat Konnection,3857946.372765081
565,On Her Majesty's Secret Service,58907381.06299648
566,Dirty Girl,4229323.067226814
567,House Party,6484374.654379372
568,Enemy at the Gates,91614043.65566225
569,A Heart in Winter,545831.9978682261
570,Meet the Spartans,43448997.80963072
571,Twister,118728633.570441
572,Bagdad Cafe,1669154.7139702966
573,The Rage: Carrie 2,26296935.16540681
574,Hesher,2745513.464005374
575,Unlawful Entry,8405384.041099347
576,D3: The Mighty Ducks,4261483.562463783
577,Good Will Hunting,16243795.224327836
578,Frantic,34117301.24153783
579,The Witches of Eastwick,22823905.583697908
580,Swimming Pool,5307802.053850176
581,Final Destination 5,104600204.2365117
582,Tumbleweeds,114551.53589845306
583,White Noise,21671818.630029205
584,I Could Never Be Your Woman,26477802.883738466
585,"Good bye, Lenin!",8948141.085704286
586,Spark: A Space Tail,3590589.75360876
587,Black Bread,2551850.7471338143
588,A Nightmare on Elm Street Part 2: Freddy's Revenge,24226811.84817782
589,The Edge,2965117.432630766
590,Shrek Forever After,248986693.02477393
591,Lost Angels,1261078.0751164102
592,Microbe and Gasoline,391869.58846464916
593,Angela's Ashes,4499231.57314088
594,When a Stranger Calls,10968030.92044676
595,Son of God,22625547.499758076
596,"Watch Out, We're Mad",2228463.7819609256
597,Great Expectations,52260280.34934149
598,Next of Kin,6205392.598009128
599,Narco,2750717.1358732907
600,Mrs. Dalloway,232913.4223273907
601,Italiano medio,806476.3807495068
602,Open Your Eyes,8345761.018607262
603,The Pirate,6187526.723077122
604,Road Trip,59841548.34539562
605,Persecuted,1220096.2621656202
606,Equilibrium,37797665.549102716
607,Journey 2: The Mysterious Island,155722696.16107744
608,Nowhere,431898.7507268569
609,Year of the Dragon,33160352.64585403
610,The Second Jungle Book: Mowgli & Baloo,1281631.8623476566
611,The Maltese Falcon,4611043.8675145935
612,Amy,1156878.1419332612
613,Johnny English Reborn,78526866.0229521
614,The Remains of the Day,31476468.018998224
615,The Delta Force,7906588.244274278
616,She's the One,12660406.87250087
617,Spy Kids 3-D: Game Over,93481844.67921346
618,Musudan,42594.03926741493
619,Mamma Mia!,134726335.14474508
620,Pearl Harbor,99141482.57122299
621,Twilight,233375218.93711758
622,Practical Magic,65077297.09094837
623,Puccini for Beginners,48154.77988657991
624,All I Want For Christmas,2241223.634954718
625,The Good Son,25892467.447733235
626,Undisputed,51592477.15587809
627,Rise of the Planet of the Apes,280252244.0660664
628,The Ledge,2651888.7994829025
629,Ballplayer,128739.47400015825
630,Cliffhanger,62281790.164891206
631,Looking for Mr. Goodbar,6141150.882108164
632,The Four Feathers,42765879.63072067
633,The Tobacconist of Vallecas,292419.1133577172
634,Life After Beth,461704.23034772964
635,Nine 1/2 Weeks,50651426.101009026
636,Garv: Pride and Honour,561990.6967705967
637,Poltergeist III,26483721.988776933
638,Jack and Jill,87294252.62053783
639,Armageddon,224068667.39494178
640,Force Majeure,1370025.9733714743
641,The Last Days on Mars,2213187.770269089
642,Black Christmas,7926590.101114472
643,The Wave,3821801.370466165
644,Love the Coopers,9109231.589803796
645,Death Warrant,11228816.96896441
646,Earth,13041370.0106723
647,Bachna Ae Haseeno,2851595.5561628565
648,Hang 'em High,14001325.603513941
649,This Is Spinal Tap,5366680.458662945
650,Spider-Man 2,259506284.07194594
651,High School Musical 2,6504839.614026049
652,Superman,266204922.35526034
653,Code Unknown,3062506.577146765
654,The Great Beauty,19010567.81226703
655,Bed of Roses,7313873.296151232
656,Where Hope Grows,59711.89021916891
657,A Force of One,724771.9893069491
658,Star Trek: The Motion Picture,87702221.38258734
659,Lilo & Stitch,277500701.5613867
660,Sicko,4874795.0994704515
661,The Invisible,30441884.847327463
662,Kung Fu Panda,362837801.55911195
663,The Lonely Lady,275490.1520518741
664,Under the Same Moon,484605.21668875904
665,Menace II Society,12472269.988443602
666,Beverly Hills Cop III,112275837.96607988
667,Orphan,16395990.328646712
668,Bolero,1967810.8501911245
669,Anacondas: The Hunt for the Blood Orchid,25997907.180447944
670,Cheech & Chong's Next Movie,27521292.84343538
671,Running on Empty,6652689.739873085
672,The Astronaut's Wife,128509182.9542455
673,The Crush,10772111.113852542
674,Godzilla,116103972.05981183
675,Resident Evil: Apocalypse,54474807.30846775
676,Open Water,3816509.4472833355
677,MacGruber,26231281.316671886
678,Amistad,11808569.825197205
679,Mudhalvan,1244473.4709314264
680,Ben-Hur: A Tale of the Christ,299859.92590919463
681,Gulliver's Travels,83619544.73627079
682,Bob & Carol & Ted & Alice,3546973.105870004
683,Liar Liar,55329192.814337015
684,Step Brothers,100185688.52747259
685,The Thin Man,9560900.403186327
686,I Now Pronounce You Chuck & Larry,103701518.6827084
687,Leonard Part 6,4077785.297861478
688,Big Eden,354284.9377570259
689,The Ant Bully,65134592.12409282
690,Miss Julie,1820470.647443497
691,Eternal Summer,79906.54177587711
692,Million Dollar Baby,95072148.02659887
693,Pitch Perfect 2,107743077.85773855
694,Sliver,49306983.62753216
695,Young Frankenstein,22135779.214143757
696,The Return,15633110.017976005
697,Dead Silence,35396806.04524746
698,Half Nelson,1928144.8267346157
699,Pokémon the Movie: Genesect and the Legend Awakened,6403849.39287839
700,Amelia,29190068.95484167
701,The Afflicted,56685.352493447404
702,Flight,69462287.63651383
703,Edward Scissorhands,44604479.366692066
704,Me and Orson Welles,6902012.473931715
705,The Hills Have Eyes,90722758.51873025
706,No End in Sight,492578.73962606525
707,Recess: School's Out,3844728.5337701547
708,Lemony Snicket's A Series of Unfortunate Events,188240074.75022313
709,My Super Ex-Girlfriend,12627121.296019152
710,Hero at Large,3855762.915718006
711,Footloose,15844371.00034343
712,Dead Calm,4586400.543998514
713,Irudhi Suttru,857475.4623931921
714,Devil's Due,20748572.492676158
715,Jumping the Broom,4774682.352088082
716,Foolish,135138.4561850464
717,The Bad News Bears in Breaking Training,5910097.108978547
718,Eternal Sunshine of the Spotless Mind,24139415.163076676
719,Forever Young,6486006.769961598
720,Sunshine Superman,146807.11950027212
721,Skiptrace,40061355.42489313
722,The Salt of the Earth,309182.7699565782
723,Our Idiot Brother,6073866.195932506
724,D2: The Mighty Ducks,9795218.896755215
725,Valley Girl,2626523.1240647314
726,Nine,47836935.818675466
727,Clear and Present Danger,150655920.7145828
728,Dillinger,4002605.9293648377
729,Hitman: Agent 47,80747631.77897613
730,Charlie Wilson's War,120178988.21001475
731,Last Dance,2264576.719593227
732,Ocean's Eleven,159831190.2021932
733,Warcraft,140784995.20003346
734,Stomp the Yard,12865649.336411707
735,Salmon Fishing in the Yemen,9518833.595128335
736,Jesus Christ Superstar,11953216.83960172
737,Pregnant,620378.2692331849
738,Young Adam,4025236.2771501895
739,"Hello, My Name Is Doris",2384280.2115032594
740,Clifford,7999469.849245377
741,The Illusionist,33598189.06055096
742,The Texas Chainsaw Massacre,40552277.745912224
743,Paycheck,115450317.4566266
744,Johnny Mnemonic,28723563.67116858
